date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2023-11-20 00:00:00,6.4,4,9.6,15.4,,37,16,,999.3,
2023-11-21 00:00:00,7.6,3.5,11.5,1.5,,284,14.6,,1008.9,
2023-11-22 00:00:00,9.4,5.5,14,1.7,,293,13.2,,1015.1,
2023-11-23 00:00:00,11.9,5.5,18.1,0,,292,10.5,,1022.8,
2023-11-24 00:00:00,13.6,4,25,0,,351,11.6,,1018.1,
2023-11-25 00:00:00,12.2,9,16.6,0,,358,15.4,,1014.2,
2023-11-26 00:00:00,11.8,8,15,0,,224,15.5,,1014.1,
2023-11-27 00:00:00,12.2,6,23,0.1,,270,11.2,,1008,
2023-11-28 00:00:00,11.3,8.1,23,0,,244,17.5,,1007.1,
2023-11-29 00:00:00,10.7,7,13.5,38.3,,132,19,,1005.1,
2023-11-30 00:00:00,11.2,7.6,13.1,30.4,,241,20.4,,1001.4,
2023-12-01 00:00:00,6.1,2,9.7,4.3,,4,15.4,,1008,
2023-12-02 00:00:00,6,2,10.4,2.7,,309,12.6,,1015.9,
2023-12-03 00:00:00,8.2,1,14,0,,266,17.1,,1023.6,
2023-12-04 00:00:00,12.9,4.7,20,0,,81,12.7,,1018.2,
2023-12-05 00:00:00,15.1,6,23,0,,296,10.9,,1012.8,
2023-12-06 00:00:00,15.2,8,22,0,,319,11.7,,1016.3,
2023-12-07 00:00:00,15.1,4.7,24.8,0,,229,12.6,,1017.5,
2023-12-08 00:00:00,15.1,5.8,25.1,0,,296,14.1,,1012.7,
2023-12-09 00:00:00,11.8,9,15,1,,280,15.2,,1015.7,
2023-12-10 00:00:00,13.5,11,16.3,0,,344,12.7,,1008.6,
